"ID","Predicted.Well.Being.Index"
569844,0.0925495464322333
624052,0.0923585976997667
164310,0.0939440468141334
923580,0.0672821980362666
955095,0.0727223408123667
473094,0.0923240333324334
874517,0.0924484773815666
305666,0.0929806521143667
566931,0.0927191650566333
286545,0.0938536080952
781582,0.0933918965024
859253,0.0842678349040667
936469,0.0831599349304
931717,0.0676272684389333
369792,0.0793341430158
375194,0.0907010995081667
205316,0.0913055012746
607816,0.0819389951414333
218533,0.0819476817609333
273408,0.0873440305448001
220363,0.0798510986125667
173635,0.0762702838483
316877,0.0881110047481667
663245,0.0739669771094667
101728,0.0858866306837667
310627,0.0835645881383
933005,0.0854829952336333
999488,0.0710128664881
313943,0.0922443374597334
692675,0.0883548162930333
755692,0.0866922547528667
278386,0.0808737512256667
102318,0.0764442758218333
564262,0.0798263579691334
855826,0.0793792041912333
420041,0.0901342120043001
338014,0.0886336848336667
603810,0.0881549960847
829884,0.0864481749119333
416838,0.0895794679133
244087,0.0901537754934334
833037,0.0914471773433
386629,0.0926891722821667
686480,0.0954992420554
831448,0.0942839822684333
166461,0.094372661797
186866,0.0841121689201333
238621,0.0826413514912667
216060,0.0818272546922666
824591,0.0875708777511999
649470,0.0765018247539
409322,0.0779061250209667
571138,0.0772154973588
842936,0.0783342607457334
918161,0.0828100917247
956765,0.0785172716250334
558338,0.0872637101860333
665210,0.0887191402509667
120089,0.0833888381475001
941817,0.0819581140834667
877265,0.0895139723333001
652643,0.0782056190209667
325449,0.0754559615678334
583929,0.0791229697237
371149,0.0796491673351001
825682,0.0925679625430334
